"title_number","title"
"001","Another Day"
"002","Binary World"
"003","Binary World (Remix)"
"004","Cosmic Flyer"
"005","Dream of You"
"006","Emerald Twilight"
"010","Feel the Soul"
"011","Gravity"
"012","Heavenly"
"020","Ignition"
"021","Journey"
"022","Keep on Rockin'"
"023","Last Dance"
"024","Midnight Bloom"
"025","Neon Lights"
"026","Over the Rainbow"
"027","Pulse"
"028","Quiet Storm"
"029","Rainbow Rider"
"030","Sky High"
"031","True Colors"
"032","Undercover"
"033","Velocity"
"034","Wonderwall"
"035","Xenon"
"036","Yesterday"
"037","Zenith"
